restaurant,top_choices
miro-los-angeles, [Wood-Grilled Octopus, Strozzapreti, Yellowtail Crudo, Wood Roasted Pork Chop, Gorgonzola & Bacon, Lamb Sausage, 38oz Bone-In Rib Eye, Roasted Bone Marrow, Lamb Kofta Tagine, Wood-Grilled Peach]
the-chairman-los-angeles, [Fries, Pork Belly Steamed Bun, Spicy Chicken Noodle Bowl, Spicy Chicken Salad Bowl, Pork Belly Baked Bun, Spicy Chicken Rice Bowl, Pork Belly Noodle Bowl, Rice Pudding, Spicy Chicken Steamed Bun, Spicy Chicken Baked Bun]
dinos-chicken-and-burgers-los-angeles, [1/2 Chicken, French Fries, Coleslaw & Tortillas, Cheeseburger, 1/2 Chicken, Rice, Beans, Coleslaw & Tortillas, Double Cheeseburger, Wet Burrito, Asada Burrito, Grilled Cheese, 1/2 Chicken, Rice, Beans, Salad & Tortillas, Pastrami Burrito, Veggie Burrito]
lab-coffee-and-roasters-los-angeles, [Americano, Espresso, Cappuccino, Earl Grey Macchiato, Macchiato, Costa Rica Coffee, Earl Grey, Ethiopia Coffee]
poke-2-go-los-angeles-2, [Spicy Poke, Aloha Poke, Aloha Poke and Rice, Avocado, Original Poke and Rice, Original Poke, Wasabi Poke]
sapp-coffee-shop-los-angeles, [Bbq Chicken, Larb, Yen Ta Fo, Bbq Pork With Rice, Grilled Beef, Noodle Soup With Pork Balls, Plah Nam, Pork Leg With Rice, Roast Duck With Rice, Beef Tendon Soup]
papis-pizzeria-los-angeles, [Pizza Slice, Bianca Pizza, Zapata Pizza, Pesto Chicken Pizza, Baby Mixed Green Salad, Vegan Pizza, Classic Margherita Pizza, Cheese Pizza, Oven-Baked Potato Wedges, Carmelita Pizza]
the-heights-deli-and-bottle-shop-los-angeles, [The Heights Sub, Chicken Parm Sub, Main St Sub, Truffle Fries, Carbonara, The Broadway Sub, Eggplant Parm Sub, Eggplant Parm Pasta, Sausage and Peppers Pasta, Caprese Salad]
alcove-cafe-and-bakery-los-angeles, [Sweet Potato Fries, Guacamole, Soup, Grilled Chicken, Crab Cake Sandwich, Cuban Sandwich, Blackened Salmon Sandwich, Tuna Melt, Blackened Salmon Tacos, Grilled Vegetable Salad]
jist-cafe-los-angeles, [Chashu Hash Skillet, 2 Eggs, Stumptown Coffee, Breakfast Potatoes, Super Huge Breakfast Burrito, Water, Strawberry Shortcake Pancakes, The Hangover Killer, The Fancy French, The Angeleno Veg]
food-haus-café-los-angeles, [Truffle Fries, Bleu Burger, Tea, South Central Fries, Blacklisted Sandwich, Burger 24, Coffee, Laos Wings, Haus Fries, Mrs Caesar Salad]
mesón-cafe-los-angeles, [Coffee, Turkey Sandwich, Hot Bowl, Ham Sandwich, Latte, Breakfast Bowl, Iced Coffee, Chicken Sandwich, California Avocado Toast, Tuna Sandwich]
panini-cafe-downtown-los-angeles-2, [Hummus, Hummus Trio, Chicken Wrap, Salmon Panini, Salmon Kabob, Romaine Avocado Salad, Chicken Shish Kabob, Stuffed Eggplant, Caesar Salad, Banana Bread Pudding]
